S003929816 Acidimicrobium ferrooxidans (T); ICP.	Root;Bacteria;"Actinobacteria";Actinobacteria;Acidimicrobidae;Acidimicrobiales;"Acidimicrobineae";Acidimicrobiaceae;Acidimicrobium.
S001416053 Ferrimicrobium acidiphilum (T); T23.	Root;Bacteria;"Actinobacteria";Actinobacteria;Acidimicrobidae;Acidimicrobiales;"Acidimicrobineae";Acidimicrobiaceae;Ferrimicrobium.
S000750001 Ferrithrix thermotolerans (T); Y005.	Root;Bacteria;"Actinobacteria";Actinobacteria;Acidimicrobidae;Acidimicrobiales;"Acidimicrobineae";Acidimicrobiaceae;Ferrithrix.
S001014081 Ilumatobacter fluminis (T); YM22-133.	Root;Bacteria;"Actinobacteria";Actinobacteria;Acidimicrobidae;Acidimicrobiales;"Acidimicrobineae";Acidimicrobiaceae;Ilumatobacter.
S001014085 Iamia majanohamensis (T); NBRC 102561.	Root;Bacteria;"Actinobacteria";Actinobacteria;Acidimicrobidae;Acidimicrobiales;"Acidimicrobineae";Iamiaceae;Iamia.
S002164967 Aciditerrimonas ferrireducens (T); IC-180.	Root;Bacteria;"Actinobacteria";Actinobacteria;Acidimicrobidae;Acidimicrobiales;"Acidimicrobineae";"Acidimicrobineae"_incertae_sedis;Aciditerrimonas.
S000011903 Actinobaculum schaalii (T); CCUG 27420.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinobaculum.
S000134158 Actinobaculum urinale (T); CCUG 46093T.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinobaculum.
S000429655 Actinobaculum massiliense (T); CIP 107404.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinobaculum.
S004056882 Actinobaculum suis (T); DSM 20639.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinobaculum.
S000000018 Actinomyces turicensis (T); APL10.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000001207 Actinomyces urogenitalis (T).	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000001211 Actinomyces marimammalium (T); CCUG 41710.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000001874 Actinomyces denticolens (T); NCTC 11490.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000001926 Actinomyces georgiae (T); type strain: DSM 6843.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000003458 Actinomyces viscosus (T); NCTC 10951.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000004698 Actinomyces israelii (T); C.I.P. 103259T.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000005054 Actinomyces hordeovulneris (T); C.I.P. 103149T.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000005442 Actinomyces naeslundii (T); NCTC 10301.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000006177 Actinomyces radingae (T); APL1.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000006560 Actinomyces gerencseriae (T); DSM 6844.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000006936 Actinomyces slackii (T); CCUG 32792; clone 1.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000010758 Actinomyces meyeri (T); C.I.P. 103148T.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000012086 Actinomyces radicidentis (T); CCUG 36733T.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000012562 Actinomyces suimastitidis (T); CCUG 39276.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000012670 Actinomyces howellii (T); NCTC 11636.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000014419 Actinomyces hongkongensis (T); HKU8.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000014523 Actinomyces bovis (T); NCTC 11535.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000014740 Actinomyces catuli (T); CCUG 41709.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000015295 Actinomyces odontolyticus (T); CCUG 20536T.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
S000015299 Actinomyces bowdenii (T); M1956/95/1.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces.
