taxid	lineage	name	rank	ERR4775526.fastq
0	null	Root	rootrank	190
1	Root;rootrank;Bacteria;domain;	Bacteria	domain	149
2259	Root;rootrank;Bacteria;domain;Bacillota;phylum;	Bacillota	phylum	2
2375	Root;rootrank;Bacteria;domain;Bacillota;phylum;Clostridia;class;	Clostridia	class	1
2376	Root;rootrank;Bacteria;domain;Bacillota;phylum;Clostridia;class;Eubacteriales;order;	Eubacteriales	order	1
2445	Root;rootrank;Bacteria;domain;Bacillota;phylum;Clostridia;class;Eubacteriales;order;Lachnospiraceae;family;	Lachnospiraceae	family	1
2626	Root;rootrank;Bacteria;domain;Bacillota;phylum;Clostridia;class;Eubacteriales;order;Lachnospiraceae;family;Blautia;genus;	Blautia	genus	1
2722	Root;rootrank;Bacteria;domain;Bacillota;phylum;Negativicutes;class;	Negativicutes	class	1
2723	Root;rootrank;Bacteria;domain;Bacillota;phylum;Negativicutes;class;Selenomonadales;order;	Selenomonadales	order	1
3994	Root;rootrank;Bacteria;domain;Bacillota;phylum;Negativicutes;class;Selenomonadales;order;Sporomusaceae;family;	Sporomusaceae	family	1
2725	Root;rootrank;Bacteria;domain;Bacillota;phylum;Negativicutes;class;Selenomonadales;order;Sporomusaceae;family;Anaerospora;genus;	Anaerospora	genus	1
-2	Root;rootrank;Bacteria;domain;unclassified_Bacteria;;	unclassified_Bacteria		147
-1	Root;rootrank;unclassified_Root;;	unclassified_Root		40
1966	Root;rootrank;Archaea;domain;	Archaea	domain	1
-1967	Root;rootrank;Archaea;domain;unclassified_Archaea;;	unclassified_Archaea		1
